id,up,type,name,category,thread,post
367,318,sub,The sea of stars,nan,7,63
366,273,forum,高考/考研,nan,1,5
365,318,sub,Kobeason,nan,0,0
364,320,sub,鸡,nan,0,0
361,318,sub,呆萌小瓜皮,nan,0,0
359,320,sub,舰娘大法好,nan,3,4
358,320,sub,哲学与宗教,nan,1,7
357,319,sub,I♥U,nan,0,0
356,319,sub,高大上,nan,1,2
355,320,sub,刻章兴趣交流组,nan,0,0
354,320,sub,葡萄,nan,3,16
353,318,sub,♂基文化研究中心♂,nan,0,0
352,318,sub,吟联,nan,1,1
351,318,sub,河畔麻人组,nan,3,92
350,319,sub,小清新集中营,nan,4,12
349,320,sub,撸撸,nan,2,4
348,318,sub,小黑屋,nan,25,637
347,318,sub,电子科大,nan,0,0
346,320,sub,戏曲曲艺大观园,nan,0,0
345,320,sub,码农不蛤蛤,nan,1,1
342,20,sub,IEEE讨论区,nan,9,58
341,318,sub,____,nan,10,155
340,318,sub,LGBT,nan,1,3
338,255,sub,校内房屋,房屋租赁,205,765
335,318,sub,河畔名人群,nan,8,39
334,203,forum,情系舞缘,舞蹈,9669,420450
330,20,sub,智力题,nan,42,1121
328,326,sub,研究生,nan,295,2397
327,326,sub,本科生,nan,65,342
326,273,forum,新生专区,nan,1,1
320,0,group,兴趣,nan,0,0
319,0,group,朋友,nan,0,0
318,0,group,同学,nan,0,0
316,95,forum,自然科学,科技资讯,73,1011
315,316,sub,物理学,科技资讯,44,1145
313,45,sub,鹊桥,nan,91,5930
312,118,sub,跑步健身,体育,47,1392
311,203,forum,舌●尖,吃货,640,13894
310,273,forum,成电UED,nan,7,57
309,273,forum,成电锐评,nan,54732,658190
308,20,sub,LaTeX技术交流,nan,56,658
307,55,sub,镜头下的成电,视觉艺术,18,258
305,236,sub,失物招领,nan,609,2676
304,109,sub,成电讲坛,nan,37,178
302,280,sub,抗干扰实验室,nan,13,70
301,280,sub,电科院,nan,15,317
300,280,sub,格拉斯哥学院,nan,111,322
299,280,sub,资环学院,nan,8,20
298,280,sub,航空航天学院,nan,8,36
297,280,sub,能源学院,nan,9,45
296,280,sub,外国语学院,nan,17,69
295,280,sub,政管学院,nan,13,240
